Century;Race;RP
124;0;5
124;1;7
124;2;6
124;3;7
124;4;5
124;5;1
124;6;9
124;7;8
124;8;10
124;9;6
124;10;6
124;11;9
124;12;2
124;13;10
124;14;6
124;15;4
124;16;8
124;17;3
124;18;6
124;19;5
124;20;2
124;21;9
124;22;2
124;23;2
124;24;4
124;25;6
124;26;6
124;27;2
124;28;3
124;29;2
124;30;8
124;31;10
124;32;1
124;33;10
124;34;1
124;35;2
124;36;7
124;37;10
124;38;6
124;39;6
124;40;4
124;41;10
124;42;5
124;43;6
124;44;2
124;45;3
124;46;2
124;47;4
124;48;8
124;49;1
124;50;3
124;51;6
124;52;3
124;53;4
124;54;3
124;55;6
124;56;7
124;57;1
124;58;6
124;59;1
124;60;9
124;61;8
124;62;7
124;63;7
124;64;3
124;65;8
124;66;9
124;67;8
124;68;9
124;69;2
124;70;6
124;71;10
124;72;1
124;73;7
124;74;4
124;75;5
124;76;7
124;77;9
124;78;10
124;79;3
124;80;8
124;81;1
124;82;8
124;83;4
124;84;5
124;85;7
124;86;10
124;87;4
124;88;2
124;89;1
124;90;10
124;91;9
124;92;9
124;93;10
124;94;6
124;95;10
124;96;4
124;97;6
124;98;3
124;99;4
124;100;2
124;101;5
124;102;7
124;103;10
124;104;8
124;105;7
124;106;2
124;107;5
124;108;4
124;109;1
124;110;3
124;111;2
124;112;1
124;113;5
124;114;9
124;115;2
124;116;3
124;117;3
124;118;4
124;119;1
124;120;2
124;121;6
124;122;4
124;123;1
124;124;7
124;125;3
124;126;9
124;127;8
124;128;1
124;129;5
124;130;6
124;131;2
124;132;9
124;133;5
124;134;8
124;135;5
124;136;1
124;137;9
124;138;4
124;139;7
124;140;3
124;141;10
124;142;9
124;143;8
124;144;3
124;145;9
124;146;8
124;147;3
124;148;3
124;149;9
124;150;7
124;151;5
124;152;9
124;153;10
124;154;9
124;155;2
124;156;6
124;157;9
124;158;4
124;159;6
124;160;7
124;161;2
124;162;2
124;163;2
124;164;1
124;165;9
124;166;9
124;167;3
124;168;2
124;169;3
124;170;3
124;171;9
124;172;2
124;173;8
124;174;2
124;175;8
124;176;4
124;177;6
124;178;10
124;179;10
124;180;9
124;181;10
124;182;9
124;183;6
124;184;4
124;185;5
124;186;4
124;187;9
124;188;3
124;189;3
124;190;3
124;191;1
124;192;4
124;193;2
124;194;9
124;195;5
124;196;4
124;197;10
124;198;7
124;199;0
124;200;8
124;201;4
124;202;2
124;203;9
124;204;4
124;205;5
124;206;4
124;207;9
124;208;4
124;209;8
124;210;5
124;211;0
124;212;9
124;213;8
124;214;8
124;215;10
124;216;1
124;217;9
124;218;4
124;219;8
124;220;5
124;221;5
124;222;3
124;223;6
124;224;4
124;225;4
124;226;9
124;227;3
124;228;8
124;229;3
124;230;10
124;231;2
124;232;9
124;233;3
124;234;6
124;235;9
124;236;9
124;237;10
124;238;1
124;239;6
124;240;1
124;241;9
124;242;10
124;243;3
124;244;6
124;245;9
124;246;7
124;247;10
124;248;2
124;249;8
124;250;6
124;251;6
124;252;4
124;253;8
124;254;4
124;255;7
124;256;8
124;257;6
124;258;4
124;259;3
124;260;8
124;261;7
124;262;6
124;263;7
124;264;4
124;265;7
124;266;6
124;267;9
124;268;7
124;269;1
124;270;4
124;271;3
124;272;5
124;273;10
124;274;10
124;275;1
124;276;8
124;277;8
124;278;5
124;279;4
124;280;4
124;281;4
124;282;6
124;283;6
124;284;3
124;285;1
124;286;2
124;287;8
124;288;2
124;289;3
124;290;3
124;291;5
124;292;5
124;293;7
124;294;8
124;295;6
124;296;8
124;297;8
124;298;2
124;299;9
124;300;4
124;301;4
124;302;4
124;303;10
124;304;3
124;305;4
124;306;2
124;307;9
124;308;9
124;309;9
124;310;10
124;311;1
124;312;3
124;313;6
124;314;6
124;315;9
124;316;7
124;317;3
124;318;8
124;319;6
124;320;7
124;321;1
124;322;1
124;323;8
124;324;3
124;325;7
124;326;1
124;327;9
124;328;7
124;329;1
124;330;8
124;331;7
124;332;8
124;333;4
124;334;8
124;335;3
124;336;9
124;337;5
124;338;2
124;339;1
124;340;2
124;341;5
124;342;3
124;343;2
124;344;10
124;345;1
124;346;7
124;347;5
124;348;10
124;349;7
124;350;8
124;351;9
124;352;7
124;353;2
124;354;1
124;355;7
124;356;10
124;357;7
124;358;4
124;359;5
124;360;7
124;361;9
124;362;7
124;363;2
124;364;3
124;365;8
124;366;9
124;367;7
124;368;5
124;369;5
124;370;8
124;371;9
124;372;4
124;373;2
124;374;3
124;375;3
124;376;1
124;377;2
124;378;10
124;379;6
124;380;4
124;381;3
124;382;6
124;383;3
124;384;2
124;385;9
124;386;4
124;387;6
124;388;5
124;389;9
124;390;5
124;391;1
124;392;4
124;393;2
124;394;10
124;395;5
124;396;2
124;397;1
124;398;4
124;399;5
124;400;3
124;401;2
124;402;5
124;403;10
124;404;3
124;405;3
124;406;1
124;407;4
124;408;6
124;409;2
124;410;3
124;411;8
124;412;7
124;413;3
124;414;8
124;415;2
124;416;8
124;417;6
124;418;10
124;419;2
124;420;1
124;421;6
124;422;3
124;423;6
124;424;1
124;425;9
124;426;7
124;427;6
124;428;4
124;429;2
124;430;6
124;431;7
124;432;4
124;433;5
124;434;8
124;435;10
124;436;8
124;437;4
124;438;1
124;439;9
124;440;10
124;441;1
124;442;1
124;443;4
124;444;3
124;445;8
124;446;10
124;447;1
124;448;2
124;449;3
124;450;6
124;451;10
124;452;1
124;453;9
124;454;8
124;455;3
124;456;5
124;457;6
124;458;7
124;459;1
124;460;4
124;461;4
124;462;6
124;463;7
124;464;2
124;465;6
124;466;6
124;467;8
124;468;3
124;469;8
124;470;3
124;471;5
124;472;10
124;473;4
124;474;10
124;475;2
124;476;5
124;477;1
124;478;10
124;479;4
124;480;9
124;481;10
124;482;8
124;483;3
124;484;10
124;485;2
124;486;1
124;487;9
124;488;8
124;489;5
124;490;5
124;491;4
124;492;7
124;493;8
124;494;8
124;495;3
124;496;4
124;497;10
124;498;3
124;499;2
124;500;1
124;501;2
124;502;3
124;503;4
124;504;4
124;505;8
124;506;2
124;507;9
124;508;2
124;509;2
124;510;6
124;511;1
124;512;6
124;513;1
124;514;3
124;515;7
124;516;7
124;517;6
124;518;3
124;519;4
124;520;5
124;521;9
124;522;5
124;523;2
124;524;1
124;525;7
124;526;4
124;527;4
124;528;3
124;529;5
124;530;3
124;531;5
124;532;9
124;533;10
124;534;4
124;535;10
124;536;5
124;537;4
124;538;8
124;539;6
124;540;10
124;541;5
124;542;7
124;543;4
124;544;6
124;545;3
124;546;9
124;547;7
124;548;2
124;549;4
124;550;6
124;551;5
124;552;7
124;553;6
124;554;1
124;555;1
124;556;5
124;557;1
124;558;9
124;559;8
124;560;7
124;561;1
124;562;7
124;563;8
124;564;4
124;565;8
124;566;1
124;567;4
124;568;1
124;569;3
124;570;9
124;571;2
124;572;3
124;573;9
124;574;2
124;575;1
124;576;6
124;577;3
124;578;10
124;579;4
124;580;5
124;581;10
124;582;3
124;583;8
124;584;8
124;585;2
124;586;4
124;587;1
124;588;3
124;589;6
124;590;8
124;591;2
124;592;7
124;593;9
124;594;7
124;595;6
124;596;8
124;597;10
124;598;1
124;599;9
124;600;5
124;601;3
124;602;10
124;603;1
124;604;9
124;605;1
124;606;3
124;607;3
124;608;7
124;609;4
124;610;4
124;611;4
124;612;2
124;613;6
124;614;8
124;615;8
124;616;10
124;617;1
124;618;3
124;619;2
124;620;5
124;621;10
124;622;8
124;623;1
124;624;10
124;625;7
124;626;9
124;627;2
124;628;2
124;629;3
124;630;9
124;631;1
124;632;2
124;633;8
124;634;10
124;635;6
124;636;8
124;637;9
124;638;9
124;639;6
124;640;5
124;641;10
124;642;10
124;643;1
124;644;7
124;645;5
124;646;6
124;647;1
124;648;5
124;649;6
124;650;6
124;651;7
