Century;Type;Race1;Race2;Planet;System;Event
99;Event;36;;3531;1048;Community government has been overthrown by Anarchy
99;Event;69;;8010;2375;Major happy event
99;Event;83;;9039;2676;Anti-science demonstrations
99;Event;86;;9360;2777;Research breakthrough
99;Event;141;;14411;4267;Community government has been overthrown by Democracy
99;Event;163;;16643;4899;Theocracy government has been overthrown by Community
99;Event;177;;17985;5308;Theocracy government has been overthrown by Monarchy
99;Event;297;;30444;8987;Monarchy government has been overthrown by Democracy
99;Event;307;;31190;9214;Community government has been overthrown by Anarchy
99;Event;327;;33595;9954;Balkanization government has been overthrown by Monarchy
99;Event;366;;36654;10822;Anarchy government has been overthrown by Anarchy
99;Event;390;;39120;11562;Social trouble
99;Event;431;;42878;12644;Theocracy government has been overthrown by Democracy
99;Event;444;;44224;13008;Balkanization government has been overthrown by Tribalism
99;Event;539;;52308;15431;Democracy government has been overthrown by Anarchy
99;Event;668;;64591;19026;Pro-science demonstrations
99;Event;672;;65341;19257;Community government has been overthrown by Monarchy
99;Event;770;;75289;22090;Balkanization government has been overthrown by Balkanization
99;Event;776;;75722;22216;Theocracy government has been overthrown by Anarchy
99;Event;794;;76911;22575;Monarchy government has been overthrown by Anarchy
99;Event;813;;78441;23037;Anarchy government has been overthrown by Monarchy
99;Event;846;;80762;23781;Economic collapse
99;Event;866;;82315;24231;Balkanization government has been overthrown by Monarchy
99;Event;877;;83468;24525;Democracy government has been overthrown by Balkanization
99;Event;885;;84129;24727;Natural catastrophe
99;Event;903;;85852;25236;Community government has been overthrown by Balkanization
99;Event;917;;86973;25565;Democracy government has been overthrown by Monarchy
99;Event;924;;87741;25780;Community government has been overthrown by Community
99;Event;932;;88637;26056;Anarchy government has been overthrown by Tribalism
99;Event;935;;88778;26096;Community government has been overthrown by Anarchy
99;Event;944;;89509;26312;Balkanization government has been overthrown by Democracy
99;Event;1002;;94507;27780;Democracy government has been overthrown by Anarchy
99;Event;1026;;97689;28703;Monarchy government has been overthrown by Theocracy
99;Event;1087;;102610;30142;Anarchy government has been overthrown by Democracy
99;Event;1229;;117719;34655;Theocracy government has been overthrown by Anarchy
99;Event;1237;;118566;34886;Civil unrest
99;Event;1298;;124654;36652;Tribalism government has been overthrown by Anarchy
99;Event;1322;;127355;37396;Theocracy government has been overthrown by Theocracy
99;Event;1358;;131538;38610;Tribalism government has been overthrown by Balkanization
99;Event;1390;;135640;39788;Anarchy government has been overthrown by Monarchy
99;Event;1438;;139801;41018;Tribalism government has been overthrown by Monarchy
99;Event;1465;;141617;41555;Balkanization government has been overthrown by Monarchy
99;Event;1512;;145565;42720;Successful terrorist attempt
99;Event;1597;;152081;44588;Tribalism government has been overthrown by Democracy
99;Event;1667;;158799;46634;Genetic manipulations(Light sleeper)
99;Event;1683;;160198;47045;Community government has been overthrown by Tribalism
99;Event;1708;;162509;47687;Democracy government has been overthrown by Theocracy
99;Event;1777;;169600;49737;Anarchy government has been overthrown by Tribalism
99;Event;1814;;173350;50854;Anarchy government has been overthrown by Tribalism
99;Event;1821;;174320;51137;Balkanization government has been overthrown by Anarchy
99;Event;1862;;178232;52276;Theocracy government has been overthrown by Tribalism
99;Event;1865;;178524;52359;Tribalism government has been overthrown by Balkanization
99;Event;1882;;180441;52944;Anarchy government has been overthrown by Balkanization
99;Event;1920;;184052;54031;Democracy government has been overthrown by Democracy
99;Event;1953;;186878;54907;Theocracy government has been overthrown by Democracy
99;Event;1966;;187854;55218;Theocracy government has been overthrown by Tribalism
99;Event;1970;;188391;55360;Monarchy government has been overthrown by Balkanization
99;Event;2054;;196180;57677;Monarchy government has been overthrown by Balkanization
99;Event;2130;;203893;59905;Economic collapse
99;Event;2222;;212690;62501;Monarchy government has been overthrown by Tribalism
99;Event;2265;;216728;63693;Democracy government has been overthrown by Monarchy
99;Event;2318;;222365;65339;Mineral ressources crisis
99;Event;2321;;223005;65514;Tribalism government has been overthrown by Balkanization
99;Event;2405;;230193;67600;Balkanization government has been overthrown by Monarchy
99;Event;2494;;238105;69916;Balkanization government has been overthrown by Balkanization
99;Event;2513;;239935;70435;Anarchy government has been overthrown by Monarchy
99;Event;2518;;240189;70516;Democracy government has been overthrown by Monarchy
98;Event;25;;2580;769;Democracy government has been overthrown by Democracy
