Century;Race;RP
99;0;10
99;1;3
99;2;8
99;3;7
99;4;8
99;5;8
99;6;6
99;7;5
99;8;6
99;9;7
99;10;2
99;11;3
99;12;1
99;13;5
99;14;2
99;15;9
99;16;1
99;17;2
99;18;2
99;19;3
99;20;9
99;21;1
99;22;1
99;23;3
99;24;4
99;25;2
99;26;10
99;27;8
99;28;3
99;29;8
99;30;9
99;31;1
99;32;6
99;33;8
99;34;9
99;35;7
99;36;7
99;37;4
99;38;3
99;39;2
99;40;10
99;41;6
99;42;7
99;43;10
99;44;7
99;45;8
99;46;2
99;47;2
99;48;3
99;49;3
99;50;2
99;51;10
99;52;3
99;53;1
99;54;8
99;55;5
99;56;10
99;57;10
99;58;2
99;59;7
99;60;2
99;61;7
99;62;5
99;63;5
99;64;3
99;65;3
99;66;10
99;67;5
99;68;8
99;69;4
99;70;9
99;71;9
99;72;9
99;73;5
99;74;2
99;75;8
99;76;4
99;77;8
99;78;3
99;79;5
99;80;9
99;81;10
99;82;7
99;83;4
99;84;2
99;85;9
99;86;17
99;87;8
99;88;7
99;89;10
99;90;4
99;91;9
99;92;8
99;93;7
99;94;9
99;95;5
99;96;5
99;97;1
99;98;3
99;99;4
99;100;2
99;101;9
99;102;1
99;103;10
99;104;4
99;105;4
99;106;7
99;107;8
99;108;6
99;109;10
99;110;6
99;111;5
99;112;7
99;113;3
99;114;10
99;115;9
99;116;2
99;117;5
99;118;4
99;119;6
99;120;3
99;121;7
99;122;1
99;123;8
99;124;7
99;125;6
99;126;6
99;127;7
99;128;3
99;129;3
99;130;5
99;131;5
99;132;5
99;133;4
99;134;7
99;135;6
99;136;4
99;137;5
99;138;8
99;139;4
99;140;8
99;141;7
99;142;9
99;143;2
99;144;10
99;145;2
99;146;7
99;147;2
99;148;8
99;149;9
99;150;4
99;151;3
99;152;10
99;153;10
99;154;8
99;155;3
99;156;10
99;157;3
99;158;1
99;159;7
99;160;2
99;161;4
99;162;7
99;163;3
99;164;4
99;165;5
99;166;7
99;167;4
99;168;10
99;169;1
99;170;2
99;171;6
99;172;10
99;173;2
99;174;6
99;175;6
99;176;6
99;177;9
99;178;8
99;179;6
99;180;2
99;181;7
99;182;6
99;183;6
99;184;4
99;185;6
99;186;7
99;187;8
99;188;10
99;189;2
99;190;4
99;191;7
99;192;4
99;193;7
99;194;4
99;195;7
99;196;2
99;197;5
99;198;1
99;199;10
99;200;9
99;201;7
99;202;3
99;203;6
99;204;4
99;205;3
99;206;9
99;207;1
99;208;7
99;209;5
99;210;8
99;211;10
99;212;1
99;213;4
99;214;10
99;215;1
99;216;10
99;217;7
99;218;1
99;219;2
99;220;2
99;221;9
99;222;1
99;223;0
99;224;8
99;225;3
99;226;7
99;227;4
99;228;10
99;229;8
99;230;6
99;231;4
99;232;4
99;233;5
99;234;5
99;235;5
99;236;4
99;237;4
99;238;10
99;239;5
99;240;3
99;241;4
99;242;5
99;243;4
99;244;4
99;245;4
99;246;4
99;247;5
99;248;10
99;249;4
99;250;9
99;251;1
99;252;7
99;253;4
99;254;4
99;255;6
99;256;4
99;257;1
99;258;10
99;259;10
99;260;3
99;261;2
99;262;9
99;263;8
99;264;6
99;265;5
99;266;4
99;267;2
99;268;10
99;269;7
99;270;8
99;271;7
99;272;9
99;273;7
99;274;10
99;275;9
99;276;5
99;277;5
99;278;8
99;279;5
99;280;5
99;281;9
99;282;6
99;283;5
99;284;2
99;285;8
99;286;10
99;287;8
99;288;1
99;289;2
99;290;3
99;291;7
99;292;6
99;293;9
99;294;1
99;295;10
99;296;1
99;297;3
99;298;6
99;299;4
99;300;4
99;301;3
99;302;3
99;303;6
99;304;8
99;305;8
99;306;6
99;307;7
99;308;1
99;309;6
99;310;6
99;311;2
99;312;1
99;313;4
99;314;7
99;315;3
99;316;7
99;317;7
99;318;4
99;319;3
99;320;7
99;321;1
99;322;2
99;323;7
99;324;9
99;325;2
99;326;9
99;327;5
99;328;3
99;329;6
99;330;1
99;331;3
99;332;6
99;333;4
99;334;7
99;335;8
99;336;2
99;337;8
99;338;8
99;339;9
99;340;10
99;341;8
99;342;7
99;343;3
99;344;3
99;345;1
99;346;6
99;347;3
99;348;9
99;349;7
99;350;5
99;351;3
99;352;2
99;353;10
99;354;7
99;355;3
99;356;1
99;357;3
99;358;8
99;359;2
99;360;2
99;361;7
99;362;4
99;363;7
99;364;4
99;365;5
99;366;3
99;367;6
99;368;5
99;369;8
99;370;1
99;371;9
99;372;8
99;373;7
99;374;7
99;375;3
99;376;1
99;377;9
99;378;5
99;379;10
99;380;10
99;381;6
99;382;7
99;383;7
99;384;8
99;385;5
99;386;5
99;387;3
99;388;2
99;389;2
99;390;2
99;391;2
99;392;3
99;393;6
99;394;6
99;395;7
99;396;6
99;397;4
99;398;8
99;399;10
99;400;1
99;401;1
99;402;4
99;403;3
99;404;1
99;405;8
99;406;1
99;407;10
99;408;3
99;409;2
99;410;9
99;411;10
99;412;5
99;413;8
99;414;5
99;415;10
99;416;9
99;417;8
99;418;7
99;419;10
99;420;1
99;421;3
99;422;1
99;423;4
99;424;2
99;425;5
99;426;4
99;427;7
99;428;10
99;429;1
99;430;2
99;431;5
99;432;10
99;433;7
99;434;2
99;435;4
99;436;5
99;437;6
99;438;2
99;439;3
99;440;5
99;441;7
99;442;1
99;443;8
99;444;4
99;445;5
99;446;9
99;447;3
99;448;1
99;449;5
99;450;3
99;451;9
99;452;4
99;453;2
99;454;5
99;455;1
99;456;9
99;457;4
99;458;1
99;459;6
99;460;4
99;461;10
99;462;10
99;463;3
99;464;10
99;465;9
99;466;4
99;467;6
99;468;6
99;469;10
99;470;1
99;471;3
99;472;8
99;473;10
99;474;8
99;475;7
99;476;1
99;477;4
99;478;2
99;479;5
99;480;3
99;481;10
99;482;4
99;483;10
99;484;10
99;485;10
99;486;3
99;487;8
99;488;2
99;489;6
99;490;4
99;491;7
99;492;3
99;493;5
99;494;9
99;495;4
99;496;2
99;497;8
99;498;10
99;499;9
99;500;8
99;501;8
99;502;8
99;503;3
99;504;2
99;505;9
99;506;4
99;507;7
99;508;7
99;509;5
99;510;10
99;511;9
99;512;4
99;513;8
99;514;1
99;515;6
99;516;6
99;517;8
99;518;1
99;519;9
99;520;6
99;521;10
99;522;7
99;523;6
99;524;7
99;525;6
99;526;8
99;527;2
99;528;1
99;529;8
99;530;10
99;531;6
99;532;6
99;533;7
99;534;1
99;535;5
99;536;2
99;537;8
99;538;9
99;539;2
99;540;3
99;541;1
99;542;2
99;543;6
99;544;7
99;545;3
99;546;9
99;547;6
99;548;9
99;549;1
99;550;3
99;551;1
99;552;4
99;553;1
99;554;2
99;555;4
99;556;8
99;557;3
99;558;1
99;559;8
99;560;3
99;561;10
99;562;3
99;563;4
99;564;4
99;565;9
99;566;7
99;567;5
99;568;2
99;569;6
99;570;8
99;571;10
99;572;9
99;573;5
99;574;1
99;575;3
99;576;6
99;577;10
99;578;10
99;579;10
99;580;5
99;581;6
99;582;2
99;583;3
99;584;5
99;585;8
99;586;2
99;587;4
99;588;4
99;589;9
99;590;5
99;591;10
99;592;5
99;593;7
99;594;2
99;595;4
99;596;6
99;597;6
99;598;9
99;599;8
99;600;1
99;601;8
99;602;2
99;603;10
99;604;8
99;605;5
99;606;4
99;607;5
99;608;7
99;609;5
99;610;0
99;611;9
99;612;4
99;613;9
99;614;3
99;615;9
99;616;3
99;617;4
99;618;5
99;619;9
99;620;7
99;621;9
99;622;1
99;623;10
99;624;3
99;625;7
99;626;1
99;627;8
99;628;1
99;629;3
99;630;7
99;631;10
99;632;3
99;633;7
99;634;3
99;635;7
99;636;1
99;637;6
99;638;2
99;639;9
99;640;10
99;641;9
99;642;2
99;643;10
99;644;8
99;645;7
99;646;4
99;647;4
99;648;2
99;649;5
99;650;3
99;651;2
99;652;2
99;653;8
99;654;8
99;655;9
99;656;7
99;657;10
99;658;6
99;659;5
99;660;3
99;661;10
99;662;8
99;663;2
99;664;8
99;665;5
99;666;7
99;667;6
99;668;12
99;669;6
99;670;8
99;671;8
99;672;5
99;673;2
99;674;8
99;675;10
99;676;5
99;677;4
99;678;7
99;679;5
99;680;4
99;681;8
99;682;5
99;683;2
99;684;8
99;685;4
99;686;2
99;687;9
99;688;9
99;689;9
99;690;4
99;691;7
99;692;3
99;693;7
99;694;4
99;695;5
99;696;5
99;697;5
99;698;9
99;699;8
99;700;7
99;701;4
99;702;8
99;703;8
99;704;2
99;705;8
99;706;8
99;707;6
99;708;1
99;709;4
99;710;6
99;711;7
99;712;1
99;713;1
99;714;3
99;715;8
99;716;2
99;717;2
99;718;6
99;719;1
99;720;3
99;721;10
99;722;9
99;723;7
99;724;8
99;725;7
99;726;5
99;727;4
99;728;4
99;729;5
99;730;4
99;731;7
99;732;3
99;733;10
99;734;1
99;735;8
99;736;2
99;737;1
99;738;7
99;739;4
99;740;8
99;741;1
99;742;5
99;743;4
99;744;9
99;745;7
99;746;1
99;747;6
99;748;10
99;749;4
99;750;8
99;751;6
99;752;8
99;753;10
99;754;4
99;755;2
99;756;9
99;757;1
99;758;3
99;759;7
99;760;9
99;761;1
99;762;2
99;763;2
99;764;8
99;765;10
99;766;7
99;767;10
99;768;9
99;769;9
99;770;1
99;771;4
99;772;1
99;773;8
99;774;5
99;775;10
99;776;3
99;777;8
99;778;9
99;779;4
99;780;9
99;781;4
99;782;8
99;783;2
99;784;1
99;785;9
99;786;2
99;787;8
99;788;9
99;789;9
99;790;2
99;791;8
99;792;6
99;793;6
99;794;10
99;795;9
99;796;6
99;797;4
99;798;10
99;799;9
99;800;6
99;801;10
99;802;7
99;803;3
99;804;8
99;805;8
99;806;4
99;807;6
99;808;3
99;809;3
99;810;3
99;811;10
99;812;1
99;813;3
99;814;6
99;815;9
99;816;3
99;817;10
99;818;7
99;819;10
99;820;7
99;821;1
99;822;9
99;823;9
99;824;9
99;825;8
99;826;6
99;827;1
99;828;7
99;829;7
99;830;6
99;831;5
99;832;10
99;833;3
99;834;10
99;835;3
99;836;2
99;837;5
99;838;8
99;839;9
99;840;7
99;841;6
99;842;4
99;843;5
99;844;1
99;845;3
99;846;9
99;847;9
99;848;6
99;849;6
99;850;4
99;851;8
99;852;5
99;853;8
99;854;6
99;855;10
99;856;7
99;857;4
99;858;8
99;859;3
99;860;1
99;861;7
99;862;3
99;863;10
99;864;7
99;865;2
99;866;8
99;867;3
99;868;1
99;869;8
99;870;1
99;871;8
99;872;7
